"id","gameType","name","supertype","setName","setCode","cardNumber","rarity","imageUrl","pokemonTcgId","language","createdAt","setId"
"cmm8prqy800ha12pmz66sor03","POKEMON","Hitmonlee",,"Fossil","base3","7","Rare Holo","https://images.pokemontcg.io/base3/7_hires.png","base3-7","EN","2026-03-02 05:03:55.952","cmm8prhdm000312pmp7qz269w"
"cmm8prqz200hc12pmkihvyw0f","POKEMON","Hypno",,"Fossil","base3","8","Rare Holo","https://images.pokemontcg.io/base3/8_hires.png","base3-8","EN","2026-03-02 05:03:55.983","cmm8prhdm000312pmp7qz269w"
"cmm8prr0300he12pmx7hx2ixj","POKEMON","Kabutops",,"Fossil","base3","9","Rare Holo","https://images.pokemontcg.io/base3/9_hires.png","base3-9","EN","2026-03-02 05:03:56.019","cmm8prhdm000312pmp7qz269w"
"cmm8prr0x00hg12pmhz4du5yr","POKEMON","Lapras",,"Fossil","base3","10","Rare Holo","https://images.pokemontcg.io/base3/10_hires.png","base3-10","EN","2026-03-02 05:03:56.049","cmm8prhdm000312pmp7qz269w"
"cmm8prr1s00hi12pmbjrqdmat","POKEMON","Magneton",,"Fossil","base3","11","Rare Holo","https://images.pokemontcg.io/base3/11_hires.png","base3-11","EN","2026-03-02 05:03:56.08","cmm8prhdm000312pmp7qz269w"
"cmm8prr2n00hk12pm40ahgqyf","POKEMON","Moltres",,"Fossil","base3","12","Rare Holo","https://images.pokemontcg.io/base3/12_hires.png","base3-12","EN","2026-03-02 05:03:56.112","cmm8prhdm000312pmp7qz269w"
"cmm8prr3i00hm12pmql9wvlgx","POKEMON","Muk",,"Fossil","base3","13","Rare Holo","https://images.pokemontcg.io/base3/13_hires.png","base3-13","EN","2026-03-02 05:03:56.143","cmm8prhdm000312pmp7qz269w"
"cmm8prr4e00ho12pm1tidr4om","POKEMON","Raichu",,"Fossil","base3","14","Rare Holo","https://images.pokemontcg.io/base3/14_hires.png","base3-14","EN","2026-03-02 05:03:56.175","cmm8prhdm000312pmp7qz269w"
"cmm8prr5a00hq12pmvd50ni04","POKEMON","Zapdos",,"Fossil","base3","15","Rare Holo","https://images.pokemontcg.io/base3/15_hires.png","base3-15","EN","2026-03-02 05:03:56.206","cmm8prhdm000312pmp7qz269w"
"cmm8prr6600hs12pmjx036oxa","POKEMON","Aerodactyl",,"Fossil","base3","16","Rare","https://images.pokemontcg.io/base3/16_hires.png","base3-16","EN","2026-03-02 05:03:56.238","cmm8prhdm000312pmp7qz269w"
"cmm8prr7200hu12pma1kuzbmg","POKEMON","Articuno",,"Fossil","base3","17","Rare","https://images.pokemontcg.io/base3/17_hires.png","base3-17","EN","2026-03-02 05:03:56.27","cmm8prhdm000312pmp7qz269w"
"cmm8prr7x00hw12pmf8sv7f94","POKEMON","Ditto",,"Fossil","base3","18","Rare","https://images.pokemontcg.io/base3/18_hires.png","base3-18","EN","2026-03-02 05:03:56.301","cmm8prhdm000312pmp7qz269w"
"cmm8prr8s00hy12pmlobhm00x","POKEMON","Dragonite",,"Fossil","base3","19","Rare","https://images.pokemontcg.io/base3/19_hires.png","base3-19","EN","2026-03-02 05:03:56.333","cmm8prhdm000312pmp7qz269w"
"cmm8prr9o00i012pm4pgpptdo","POKEMON","Gengar",,"Fossil","base3","20","Rare","https://images.pokemontcg.io/base3/20_hires.png","base3-20","EN","2026-03-02 05:03:56.364","cmm8prhdm000312pmp7qz269w"
"cmm8prraj00i212pm61sx4mbj","POKEMON","Haunter",,"Fossil","base3","21","Rare","https://images.pokemontcg.io/base3/21_hires.png","base3-21","EN","2026-03-02 05:03:56.395","cmm8prhdm000312pmp7qz269w"
"cmm8prrbe00i412pmvrvv5tza","POKEMON","Hitmonlee",,"Fossil","base3","22","Rare","https://images.pokemontcg.io/base3/22_hires.png","base3-22","EN","2026-03-02 05:03:56.427","cmm8prhdm000312pmp7qz269w"
"cmm8prrca00i612pmpsxzw8rz","POKEMON","Hypno",,"Fossil","base3","23","Rare","https://images.pokemontcg.io/base3/23_hires.png","base3-23","EN","2026-03-02 05:03:56.458","cmm8prhdm000312pmp7qz269w"
"cmm8prrd600i812pml2k0r4fv","POKEMON","Kabutops",,"Fossil","base3","24","Rare","https://images.pokemontcg.io/base3/24_hires.png","base3-24","EN","2026-03-02 05:03:56.49","cmm8prhdm000312pmp7qz269w"
"cmm8prre100ia12pmf5nuhz6e","POKEMON","Lapras",,"Fossil","base3","25","Rare","https://images.pokemontcg.io/base3/25_hires.png","base3-25","EN","2026-03-02 05:03:56.521","cmm8prhdm000312pmp7qz269w"
"cmm8prrew00ic12pm7579tbdd","POKEMON","Magneton",,"Fossil","base3","26","Rare","https://images.pokemontcg.io/base3/26_hires.png","base3-26","EN","2026-03-02 05:03:56.552","cmm8prhdm000312pmp7qz269w"
"cmm8prrfr00ie12pmtqqgki7g","POKEMON","Moltres",,"Fossil","base3","27","Rare","https://images.pokemontcg.io/base3/27_hires.png","base3-27","EN","2026-03-02 05:03:56.583","cmm8prhdm000312pmp7qz269w"
"cmm8prrgn00ig12pmd9uje6cm","POKEMON","Muk",,"Fossil","base3","28","Rare","https://images.pokemontcg.io/base3/28_hires.png","base3-28","EN","2026-03-02 05:03:56.615","cmm8prhdm000312pmp7qz269w"
"cmm8prrhi00ii12pmjijxh42i","POKEMON","Raichu",,"Fossil","base3","29","Rare","https://images.pokemontcg.io/base3/29_hires.png","base3-29","EN","2026-03-02 05:03:56.647","cmm8prhdm000312pmp7qz269w"
"cmm8prrid00ik12pmus5w73w9","POKEMON","Zapdos",,"Fossil","base3","30","Rare","https://images.pokemontcg.io/base3/30_hires.png","base3-30","EN","2026-03-02 05:03:56.678","cmm8prhdm000312pmp7qz269w"
"cmm8prrj900im12pmx08be3w5","POKEMON","Arbok",,"Fossil","base3","31","Uncommon","https://images.pokemontcg.io/base3/31_hires.png","base3-31","EN","2026-03-02 05:03:56.709","cmm8prhdm000312pmp7qz269w"
"cmm8prrk400io12pmdd7q572w","POKEMON","Cloyster",,"Fossil","base3","32","Uncommon","https://images.pokemontcg.io/base3/32_hires.png","base3-32","EN","2026-03-02 05:03:56.741","cmm8prhdm000312pmp7qz269w"
"cmm8prrl000iq12pmh6eefxel","POKEMON","Gastly",,"Fossil","base3","33","Uncommon","https://images.pokemontcg.io/base3/33_hires.png","base3-33","EN","2026-03-02 05:03:56.772","cmm8prhdm000312pmp7qz269w"
"cmm8prrlw00is12pmenntgn1h","POKEMON","Golbat",,"Fossil","base3","34","Uncommon","https://images.pokemontcg.io/base3/34_hires.png","base3-34","EN","2026-03-02 05:03:56.804","cmm8prhdm000312pmp7qz269w"
"sv10-42","POKEMON","Blaziken",,"Destined Rivals","sv10","42","Rare","https://images.pokemontcg.io/sv10/42_hires.png",,"EN","2026-03-02 05:26:05.071",
"cmm8prrnn00iw12pmod742azp","POKEMON","Golem",,"Fossil","base3","36","Uncommon","https://images.pokemontcg.io/base3/36_hires.png","base3-36","EN","2026-03-02 05:03:56.867","cmm8prhdm000312pmp7qz269w"
"cmm8prroi00iy12pmyxf9dt2j","POKEMON","Graveler",,"Fossil","base3","37","Uncommon","https://images.pokemontcg.io/base3/37_hires.png","base3-37","EN","2026-03-02 05:03:56.898","cmm8prhdm000312pmp7qz269w"
"cmm8prrpe00j012pmesb10o12","POKEMON","Kingler",,"Fossil","base3","38","Uncommon","https://images.pokemontcg.io/base3/38_hires.png","base3-38","EN","2026-03-02 05:03:56.93","cmm8prhdm000312pmp7qz269w"
"cmm8prrq900j212pmzge2ffs3","POKEMON","Magmar",,"Fossil","base3","39","Uncommon","https://images.pokemontcg.io/base3/39_hires.png","base3-39","EN","2026-03-02 05:03:56.962","cmm8prhdm000312pmp7qz269w"
"cmm8prrr400j412pmwkxycr8d","POKEMON","Omastar",,"Fossil","base3","40","Uncommon","https://images.pokemontcg.io/base3/40_hires.png","base3-40","EN","2026-03-02 05:03:56.993","cmm8prhdm000312pmp7qz269w"
"cmm8prrs000j612pmys1szpeh","POKEMON","Sandslash",,"Fossil","base3","41","Uncommon","https://images.pokemontcg.io/base3/41_hires.png","base3-41","EN","2026-03-02 05:03:57.024","cmm8prhdm000312pmp7qz269w"
"cmm8prrsu00j812pm3waq7p4g","POKEMON","Seadra",,"Fossil","base3","42","Uncommon","https://images.pokemontcg.io/base3/42_hires.png","base3-42","EN","2026-03-02 05:03:57.055","cmm8prhdm000312pmp7qz269w"
"cmm8prrtp00ja12pmkn7ze3fg","POKEMON","Slowbro",,"Fossil","base3","43","Uncommon","https://images.pokemontcg.io/base3/43_hires.png","base3-43","EN","2026-03-02 05:03:57.086","cmm8prhdm000312pmp7qz269w"
"cmm8prrul00jc12pmh0s3cj7w","POKEMON","Tentacruel",,"Fossil","base3","44","Uncommon","https://images.pokemontcg.io/base3/44_hires.png","base3-44","EN","2026-03-02 05:03:57.117","cmm8prhdm000312pmp7qz269w"
"cmm8prrvg00je12pm6i56a2ux","POKEMON","Weezing",,"Fossil","base3","45","Uncommon","https://images.pokemontcg.io/base3/45_hires.png","base3-45","EN","2026-03-02 05:03:57.149","cmm8prhdm000312pmp7qz269w"
"cmm8prrwb00jg12pmab52drim","POKEMON","Ekans",,"Fossil","base3","46","Common","https://images.pokemontcg.io/base3/46_hires.png","base3-46","EN","2026-03-02 05:03:57.179","cmm8prhdm000312pmp7qz269w"
"cmm8prrx600ji12pmzigr8z0z","POKEMON","Geodude",,"Fossil","base3","47","Common","https://images.pokemontcg.io/base3/47_hires.png","base3-47","EN","2026-03-02 05:03:57.211","cmm8prhdm000312pmp7qz269w"
"cmm8prry200jk12pm1n17q5n4","POKEMON","Grimer",,"Fossil","base3","48","Common","https://images.pokemontcg.io/base3/48_hires.png","base3-48","EN","2026-03-02 05:03:57.242","cmm8prhdm000312pmp7qz269w"
"cmm8prryx00jm12pm9gaypsoc","POKEMON","Horsea",,"Fossil","base3","49","Common","https://images.pokemontcg.io/base3/49_hires.png","base3-49","EN","2026-03-02 05:03:57.274","cmm8prhdm000312pmp7qz269w"
"cmm8prrzt00jo12pm53so4vbb","POKEMON","Kabuto",,"Fossil","base3","50","Common","https://images.pokemontcg.io/base3/50_hires.png","base3-50","EN","2026-03-02 05:03:57.305","cmm8prhdm000312pmp7qz269w"
"cmm8prs0o00jq12pmlvewgork","POKEMON","Krabby",,"Fossil","base3","51","Common","https://images.pokemontcg.io/base3/51_hires.png","base3-51","EN","2026-03-02 05:03:57.336","cmm8prhdm000312pmp7qz269w"
"cmm8prs1k00js12pmz0y1dnyq","POKEMON","Omanyte",,"Fossil","base3","52","Common","https://images.pokemontcg.io/base3/52_hires.png","base3-52","EN","2026-03-02 05:03:57.368","cmm8prhdm000312pmp7qz269w"
"cmm8prs2f00ju12pm3d9u01g5","POKEMON","Psyduck",,"Fossil","base3","53","Common","https://images.pokemontcg.io/base3/53_hires.png","base3-53","EN","2026-03-02 05:03:57.399","cmm8prhdm000312pmp7qz269w"
"cmm8prs3a00jw12pmjrlgvqht","POKEMON","Shellder",,"Fossil","base3","54","Common","https://images.pokemontcg.io/base3/54_hires.png","base3-54","EN","2026-03-02 05:03:57.43","cmm8prhdm000312pmp7qz269w"
"cmm8prs4500jy12pm8i5ur8f5","POKEMON","Slowpoke",,"Fossil","base3","55","Common","https://images.pokemontcg.io/base3/55_hires.png","base3-55","EN","2026-03-02 05:03:57.462","cmm8prhdm000312pmp7qz269w"
"cmm8prs5000k012pmaun7yb5o","POKEMON","Tentacool",,"Fossil","base3","56","Common","https://images.pokemontcg.io/base3/56_hires.png","base3-56","EN","2026-03-02 05:03:57.492","cmm8prhdm000312pmp7qz269w"
"cmm8prs5w00k212pm6snbcahh","POKEMON","Zubat",,"Fossil","base3","57","Common","https://images.pokemontcg.io/base3/57_hires.png","base3-57","EN","2026-03-02 05:03:57.524","cmm8prhdm000312pmp7qz269w"
"cmm8prs6r00k412pmdwdvw9i3","POKEMON","Mr. Fuji",,"Fossil","base3","58","Uncommon","https://images.pokemontcg.io/base3/58_hires.png","base3-58","EN","2026-03-02 05:03:57.555","cmm8prhdm000312pmp7qz269w"
"cmm8prs7n00k612pmn7misek6","POKEMON","Energy Search",,"Fossil","base3","59","Common","https://images.pokemontcg.io/base3/59_hires.png","base3-59","EN","2026-03-02 05:03:57.587","cmm8prhdm000312pmp7qz269w"
"cmm8prs8i00k812pm806j2540","POKEMON","Gambler",,"Fossil","base3","60","Common","https://images.pokemontcg.io/base3/60_hires.png","base3-60","EN","2026-03-02 05:03:57.618","cmm8prhdm000312pmp7qz269w"
"cmm8prs9d00ka12pm45gr6wbz","POKEMON","Recycle",,"Fossil","base3","61","Common","https://images.pokemontcg.io/base3/61_hires.png","base3-61","EN","2026-03-02 05:03:57.65","cmm8prhdm000312pmp7qz269w"
"cmm8prsa800kc12pmqms13vt1","POKEMON","Mysterious Fossil",,"Fossil","base3","62","Common","https://images.pokemontcg.io/base3/62_hires.png","base3-62","EN","2026-03-02 05:03:57.681","cmm8prhdm000312pmp7qz269w"
"cmm8prsb300ke12pmwoqay64x","POKEMON","Alakazam",,"Base Set 2","base4","1","Rare Holo","https://images.pokemontcg.io/base4/1_hires.png","base4-1","EN","2026-03-02 05:03:57.711","cmm8prheg000412pm1bppawp2"
"cmm8prsby00kg12pmcj0vp1ez","POKEMON","Blastoise",,"Base Set 2","base4","2","Rare Holo","https://images.pokemontcg.io/base4/2_hires.png","base4-2","EN","2026-03-02 05:03:57.742","cmm8prheg000412pm1bppawp2"
"cmm8prscu00ki12pmcpz224me","POKEMON","Chansey",,"Base Set 2","base4","3","Rare Holo","https://images.pokemontcg.io/base4/3_hires.png","base4-3","EN","2026-03-02 05:03:57.774","cmm8prheg000412pm1bppawp2"
"cmm8prsdp00kk12pmb6zr61ek","POKEMON","Charizard",,"Base Set 2","base4","4","Rare Holo","https://images.pokemontcg.io/base4/4_hires.png","base4-4","EN","2026-03-02 05:03:57.805","cmm8prheg000412pm1bppawp2"
"cmm8prsek00km12pmf889ftkm","POKEMON","Clefable",,"Base Set 2","base4","5","Rare Holo","https://images.pokemontcg.io/base4/5_hires.png","base4-5","EN","2026-03-02 05:03:57.836","cmm8prheg000412pm1bppawp2"
"cmm8prsff00ko12pmi5kc6eun","POKEMON","Clefairy",,"Base Set 2","base4","6","Rare Holo","https://images.pokemontcg.io/base4/6_hires.png","base4-6","EN","2026-03-02 05:03:57.868","cmm8prheg000412pm1bppawp2"
"cmm8prsgb00kq12pmv0yl1ygq","POKEMON","Gyarados",,"Base Set 2","base4","7","Rare Holo","https://images.pokemontcg.io/base4/7_hires.png","base4-7","EN","2026-03-02 05:03:57.899","cmm8prheg000412pm1bppawp2"
"cmm8prsh600ks12pmp26zjv2d","POKEMON","Hitmonchan",,"Base Set 2","base4","8","Rare Holo","https://images.pokemontcg.io/base4/8_hires.png","base4-8","EN","2026-03-02 05:03:57.931","cmm8prheg000412pm1bppawp2"
"cmm8prsi100ku12pmbg9zv735","POKEMON","Magneton",,"Base Set 2","base4","9","Rare Holo","https://images.pokemontcg.io/base4/9_hires.png","base4-9","EN","2026-03-02 05:03:57.962","cmm8prheg000412pm1bppawp2"
"cmm8prsiw00kw12pm6wujv8sc","POKEMON","Mewtwo",,"Base Set 2","base4","10","Rare Holo","https://images.pokemontcg.io/base4/10_hires.png","base4-10","EN","2026-03-02 05:03:57.992","cmm8prheg000412pm1bppawp2"
"sv10-44","POKEMON","Hearthflame Mask Ogerpon",,"Destined Rivals","sv10","44","Uncommon","https://images.pokemontcg.io/sv10/44_hires.png",,"EN","2026-03-02 05:26:05.071",
"cmm8prslj00l212pmjz4pjorx","POKEMON","Ninetales",,"Base Set 2","base4","13","Rare Holo","https://images.pokemontcg.io/base4/13_hires.png","base4-13","EN","2026-03-02 05:03:58.087","cmm8prheg000412pm1bppawp2"
"cmm8prsme00l412pmdhnql1e6","POKEMON","Pidgeot",,"Base Set 2","base4","14","Rare Holo","https://images.pokemontcg.io/base4/14_hires.png","base4-14","EN","2026-03-02 05:03:58.118","cmm8prheg000412pm1bppawp2"
"cmm8prsn900l612pm9murul38","POKEMON","Poliwrath",,"Base Set 2","base4","15","Rare Holo","https://images.pokemontcg.io/base4/15_hires.png","base4-15","EN","2026-03-02 05:03:58.149","cmm8prheg000412pm1bppawp2"
"cmm8prso400l812pmotnrurmk","POKEMON","Raichu",,"Base Set 2","base4","16","Rare Holo","https://images.pokemontcg.io/base4/16_hires.png","base4-16","EN","2026-03-02 05:03:58.18","cmm8prheg000412pm1bppawp2"
"cmm8prsoz00la12pmsbrc5kw0","POKEMON","Scyther",,"Base Set 2","base4","17","Rare Holo","https://images.pokemontcg.io/base4/17_hires.png","base4-17","EN","2026-03-02 05:03:58.211","cmm8prheg000412pm1bppawp2"
"cmm8prspu00lc12pmkd3l6knz","POKEMON","Venusaur",,"Base Set 2","base4","18","Rare Holo","https://images.pokemontcg.io/base4/18_hires.png","base4-18","EN","2026-03-02 05:03:58.243","cmm8prheg000412pm1bppawp2"
"cmm8prsqq00le12pmb54kwzas","POKEMON","Wigglytuff",,"Base Set 2","base4","19","Rare Holo","https://images.pokemontcg.io/base4/19_hires.png","base4-19","EN","2026-03-02 05:03:58.274","cmm8prheg000412pm1bppawp2"
"cmm8prssg00li12pmcaf9ye84","POKEMON","Beedrill",,"Base Set 2","base4","21","Rare","https://images.pokemontcg.io/base4/21_hires.png","base4-21","EN","2026-03-02 05:03:58.336","cmm8prheg000412pm1bppawp2"
"cmm8prsu500lk12pm4xijdayy","POKEMON","Dragonair",,"Base Set 2","base4","22","Rare","https://images.pokemontcg.io/base4/22_hires.png","base4-22","EN","2026-03-02 05:03:58.368","cmm8prheg000412pm1bppawp2"
"cmm8prsv000lm12pmmkjj8d5f","POKEMON","Dugtrio",,"Base Set 2","base4","23","Rare","https://images.pokemontcg.io/base4/23_hires.png","base4-23","EN","2026-03-02 05:03:58.428","cmm8prheg000412pm1bppawp2"
"cmm8prsvw00lo12pmdlsubn8o","POKEMON","Electabuzz",,"Base Set 2","base4","24","Rare","https://images.pokemontcg.io/base4/24_hires.png","base4-24","EN","2026-03-02 05:03:58.46","cmm8prheg000412pm1bppawp2"
"cmm8prswr00lq12pmib4zwnon","POKEMON","Electrode",,"Base Set 2","base4","25","Rare","https://images.pokemontcg.io/base4/25_hires.png","base4-25","EN","2026-03-02 05:03:58.492","cmm8prheg000412pm1bppawp2"
"cmm8prsxn00ls12pmm9q2xnbb","POKEMON","Kangaskhan",,"Base Set 2","base4","26","Rare","https://images.pokemontcg.io/base4/26_hires.png","base4-26","EN","2026-03-02 05:03:58.523","cmm8prheg000412pm1bppawp2"
"cmm8prsyi00lu12pm7lrepiaf","POKEMON","Mr. Mime",,"Base Set 2","base4","27","Rare","https://images.pokemontcg.io/base4/27_hires.png","base4-27","EN","2026-03-02 05:03:58.555","cmm8prheg000412pm1bppawp2"
"cmm8prsze00lw12pml2dkct96","POKEMON","Pidgeotto",,"Base Set 2","base4","28","Rare","https://images.pokemontcg.io/base4/28_hires.png","base4-28","EN","2026-03-02 05:03:58.586","cmm8prheg000412pm1bppawp2"
"cmm8prt0900ly12pmdq9yxx6n","POKEMON","Pinsir",,"Base Set 2","base4","29","Rare","https://images.pokemontcg.io/base4/29_hires.png","base4-29","EN","2026-03-02 05:03:58.617","cmm8prheg000412pm1bppawp2"
"cmm8prt1400m012pm9fve3fyd","POKEMON","Snorlax",,"Base Set 2","base4","30","Rare","https://images.pokemontcg.io/base4/30_hires.png","base4-30","EN","2026-03-02 05:03:58.649","cmm8prheg000412pm1bppawp2"
"cmm8prt1z00m212pmso8gj6bw","POKEMON","Venomoth",,"Base Set 2","base4","31","Rare","https://images.pokemontcg.io/base4/31_hires.png","base4-31","EN","2026-03-02 05:03:58.68","cmm8prheg000412pm1bppawp2"
"cmm8prt2u00m412pmlp85abyb","POKEMON","Victreebel",,"Base Set 2","base4","32","Rare","https://images.pokemontcg.io/base4/32_hires.png","base4-32","EN","2026-03-02 05:03:58.711","cmm8prheg000412pm1bppawp2"
"cmm8prt3q00m612pmgcm1me2v","POKEMON","Arcanine",,"Base Set 2","base4","33","Uncommon","https://images.pokemontcg.io/base4/33_hires.png","base4-33","EN","2026-03-02 05:03:58.742","cmm8prheg000412pm1bppawp2"
"cmm8prt4l00m812pmoy2vrkqm","POKEMON","Butterfree",,"Base Set 2","base4","34","Uncommon","https://images.pokemontcg.io/base4/34_hires.png","base4-34","EN","2026-03-02 05:03:58.773","cmm8prheg000412pm1bppawp2"
"cmm8prt5h00ma12pmqjomx58f","POKEMON","Charmeleon",,"Base Set 2","base4","35","Uncommon","https://images.pokemontcg.io/base4/35_hires.png","base4-35","EN","2026-03-02 05:03:58.805","cmm8prheg000412pm1bppawp2"
"cmm8prt6c00mc12pmza8be1y5","POKEMON","Dewgong",,"Base Set 2","base4","36","Uncommon","https://images.pokemontcg.io/base4/36_hires.png","base4-36","EN","2026-03-02 05:03:58.836","cmm8prheg000412pm1bppawp2"
"cmm8prt7700me12pmqavpczg6","POKEMON","Dodrio",,"Base Set 2","base4","37","Uncommon","https://images.pokemontcg.io/base4/37_hires.png","base4-37","EN","2026-03-02 05:03:58.867","cmm8prheg000412pm1bppawp2"
"cmm8prt8200mg12pmievpno84","POKEMON","Dratini",,"Base Set 2","base4","38","Uncommon","https://images.pokemontcg.io/base4/38_hires.png","base4-38","EN","2026-03-02 05:03:58.899","cmm8prheg000412pm1bppawp2"
"cmm8prt8y00mi12pmzff99uyk","POKEMON","Exeggutor",,"Base Set 2","base4","39","Uncommon","https://images.pokemontcg.io/base4/39_hires.png","base4-39","EN","2026-03-02 05:03:58.93","cmm8prheg000412pm1bppawp2"
"cmm8prt9t00mk12pmltbbs1cc","POKEMON","Farfetch'd",,"Base Set 2","base4","40","Uncommon","https://images.pokemontcg.io/base4/40_hires.png","base4-40","EN","2026-03-02 05:03:58.961","cmm8prheg000412pm1bppawp2"
"cmm8prtao00mm12pmhisishco","POKEMON","Fearow",,"Base Set 2","base4","41","Uncommon","https://images.pokemontcg.io/base4/41_hires.png","base4-41","EN","2026-03-02 05:03:58.992","cmm8prheg000412pm1bppawp2"
"cmm8prtbj00mo12pmw4qnw0xf","POKEMON","Growlithe",,"Base Set 2","base4","42","Uncommon","https://images.pokemontcg.io/base4/42_hires.png","base4-42","EN","2026-03-02 05:03:59.024","cmm8prheg000412pm1bppawp2"
"cmm8prtcf00mq12pm0o48muds","POKEMON","Haunter",,"Base Set 2","base4","43","Uncommon","https://images.pokemontcg.io/base4/43_hires.png","base4-43","EN","2026-03-02 05:03:59.055","cmm8prheg000412pm1bppawp2"
"cmm8prtd900ms12pm0zo0yj1b","POKEMON","Ivysaur",,"Base Set 2","base4","44","Uncommon","https://images.pokemontcg.io/base4/44_hires.png","base4-44","EN","2026-03-02 05:03:59.086","cmm8prheg000412pm1bppawp2"
"cmm8prte500mu12pm0deacggb","POKEMON","Jynx",,"Base Set 2","base4","45","Uncommon","https://images.pokemontcg.io/base4/45_hires.png","base4-45","EN","2026-03-02 05:03:59.117","cmm8prheg000412pm1bppawp2"
"cmm8prtf000mw12pm6czb09hx","POKEMON","Kadabra",,"Base Set 2","base4","46","Uncommon","https://images.pokemontcg.io/base4/46_hires.png","base4-46","EN","2026-03-02 05:03:59.149","cmm8prheg000412pm1bppawp2"
"cmm8prtfw00my12pmvbzt0nga","POKEMON","Kakuna",,"Base Set 2","base4","47","Uncommon","https://images.pokemontcg.io/base4/47_hires.png","base4-47","EN","2026-03-02 05:03:59.18","cmm8prheg000412pm1bppawp2"
"cmm8prtgq00n012pmufh4ixyb","POKEMON","Lickitung",,"Base Set 2","base4","48","Uncommon","https://images.pokemontcg.io/base4/48_hires.png","base4-48","EN","2026-03-02 05:03:59.21","cmm8prheg000412pm1bppawp2"
"cmm8prthm00n212pmhcal6r8f","POKEMON","Machoke",,"Base Set 2","base4","49","Uncommon","https://images.pokemontcg.io/base4/49_hires.png","base4-49","EN","2026-03-02 05:03:59.242","cmm8prheg000412pm1bppawp2"
"cmm8prtih00n412pmehvej4ku","POKEMON","Magikarp",,"Base Set 2","base4","50","Uncommon","https://images.pokemontcg.io/base4/50_hires.png","base4-50","EN","2026-03-02 05:03:59.273","cmm8prheg000412pm1bppawp2"
"cmm8prtk700n812pmxp969llo","POKEMON","Marowak",,"Base Set 2","base4","52","Uncommon","https://images.pokemontcg.io/base4/52_hires.png","base4-52","EN","2026-03-02 05:03:59.335","cmm8prheg000412pm1bppawp2"
"cmm8prtl300na12pmcbn7onu9","POKEMON","Nidorina",,"Base Set 2","base4","53","Uncommon","https://images.pokemontcg.io/base4/53_hires.png","base4-53","EN","2026-03-02 05:03:59.367","cmm8prheg000412pm1bppawp2"
"cmm8prtly00nc12pm9na9nlhw","POKEMON","Nidorino",,"Base Set 2","base4","54","Uncommon","https://images.pokemontcg.io/base4/54_hires.png","base4-54","EN","2026-03-02 05:03:59.399","cmm8prheg000412pm1bppawp2"
"cmm8prtmu00ne12pmbdmso1uy","POKEMON","Parasect",,"Base Set 2","base4","55","Uncommon","https://images.pokemontcg.io/base4/55_hires.png","base4-55","EN","2026-03-02 05:03:59.43","cmm8prheg000412pm1bppawp2"
